,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-l/1000km,highway-L/100km,price,diesel,gas
82,1,125,mitsubishi,std,four,sedan,fwd,front,96.3,0.47,0.44,0.32,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,7.34,6989.0,0,1
83,1,125,mitsubishi,std,four,sedan,fwd,front,96.3,0.47,0.44,0.32,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,7.34,8189.0,0,1
84,1,125,mitsubishi,turbo,four,sedan,fwd,front,96.3,0.47,0.44,0.32,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.22,7.83,9279.0,0,1
85,-1,137,mitsubishi,std,four,sedan,fwd,front,96.3,0.47,0.44,0.32,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.22,7.83,9279.0,0,1
86,1,128,nissan,std,two,sedan,fwd,front,94.5,0.36,0.3,0.56,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,5499.0,0,1
87,1,128,nissan,std,two,sedan,fwd,front,94.5,0.36,0.3,0.56,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,5.22,4.7,7099.0,1,0
88,1,128,nissan,std,two,sedan,fwd,front,94.5,0.36,0.3,0.56,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,6649.0,0,1
89,1,122,nissan,std,four,sedan,fwd,front,94.5,0.36,0.3,0.56,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,6849.0,0,1
90,1,103,nissan,std,four,wagon,fwd,front,94.5,0.43,0.3,0.48,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,7349.0,0,1
91,1,128,nissan,std,two,sedan,fwd,front,94.5,0.36,0.3,0.56,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,7299.0,0,1
92,1,128,nissan,std,two,hatchback,fwd,front,94.5,0.37,0.3,0.46,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,7799.0,0,1
93,1,122,nissan,std,four,sedan,fwd,front,94.5,0.36,0.3,0.56,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,7499.0,0,1
94,1,103,nissan,std,four,wagon,fwd,front,94.5,0.43,0.3,0.48,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,7999.0,0,1
95,2,168,nissan,std,two,hardtop,fwd,front,95.1,0.32,0.3,0.46,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,8249.0,0,1
96,0,106,nissan,std,four,hatchback,fwd,front,97.2,0.48,0.42,0.58,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,8.7,6.91,8949.0,0,1
97,0,106,nissan,std,four,sedan,fwd,front,97.2,0.48,0.42,0.58,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,8.7,6.91,9549.0,0,1
98,0,128,nissan,std,four,sedan,fwd,front,100.4,0.61,0.53,0.61,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,13.82,10.68,13499.0,0,1
99,0,108,nissan,std,four,wagon,fwd,front,100.4,0.65,0.53,0.69,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,13.82,10.68,14399.0,0,1
100,0,108,nissan,std,four,sedan,fwd,front,100.4,0.65,0.53,0.61,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,12.37,9.4,13499.0,0,1
101,3,194,nissan,std,two,hatchback,rwd,front,91.3,0.44,0.65,0.16,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,12.37,9.4,17199.0,0,1
102,3,194,nissan,turbo,two,hatchback,rwd,front,91.3,0.44,0.65,0.16,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200.0,13.82,10.22,19699.0,0,1
103,1,231,nissan,std,two,hatchback,rwd,front,99.2,0.56,0.65,0.16,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,12.37,9.4,18399.0,0,1
104,0,161,peugot,std,four,sedan,rwd,front,107.9,0.68,0.69,0.74,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,12.37,9.79,11900.0,0,1
105,0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.68,0.69,0.74,3197,l,four,152,idi,3.7,3.52,21.0,95,4150.0,8.39,7.12,13200.0,1,0
106,0,122,peugot,std,four,wagon,rwd,front,114.2,0.86,0.69,0.91,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,12.37,9.79,12440.0,0,1
107,0,122,peugot,turbo,four,wagon,rwd,front,114.2,0.86,0.69,0.91,3430,l,four,152,idi,3.7,3.52,21.0,95,4150.0,9.4,9.4,13860.0,1,0
108,0,161,peugot,std,four,sedan,rwd,front,107.9,0.68,0.69,0.74,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,12.37,9.79,15580.0,0,1
109,0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.68,0.69,0.74,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,8.39,7.12,16900.0,1,0
110,0,122,peugot,std,four,wagon,rwd,front,114.2,0.86,0.69,0.74,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,12.37,9.79,16695.0,0,1
111,0,122,peugot,turbo,four,wagon,rwd,front,114.2,0.86,0.69,0.91,3485,l,four,152,idi,3.7,3.52,21.0,95,4150.0,9.4,9.4,17075.0,1,0
112,0,161,peugot,std,four,sedan,rwd,front,107.9,0.68,0.69,0.74,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,12.37,9.79,16630.0,0,1
113,0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.68,0.69,0.74,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,8.39,7.12,17950.0,1,0
114,0,161,peugot,turbo,four,sedan,rwd,front,108.0,0.68,0.68,0.68,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600.0,13.06,9.79,18150.0,0,1
115,1,119,plymouth,std,two,hatchback,fwd,front,93.7,0.24,0.3,0.25,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,6.35,5.73,5572.0,0,1
116,1,119,plymouth,turbo,two,hatchback,fwd,front,93.7,0.24,0.3,0.25,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,9.79,7.83,7957.0,0,1
117,1,154,plymouth,std,four,hatchback,fwd,front,93.7,0.24,0.3,0.23,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.58,6.18,6229.0,0,1
118,1,154,plymouth,std,four,sedan,fwd,front,93.7,0.39,0.3,0.25,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.58,6.18,6692.0,0,1
119,1,154,plymouth,std,four,sedan,fwd,front,93.7,0.39,0.3,0.25,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500.0,7.58,6.18,7609.0,0,1
120,-1,74,plymouth,std,four,wagon,fwd,front,103.3,0.5,0.37,1.0,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.79,7.83,8921.0,0,1
121,3,122,plymouth,turbo,two,hatchback,rwd,front,95.9,0.48,0.51,0.2,2818,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,12.37,9.79,12764.0,0,1
122,3,186,porsche,std,two,hatchback,rwd,front,94.5,0.41,0.68,0.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500.0,12.37,8.7,22018.0,0,1
123,3,122,porsche,std,two,hardtop,rwd,rear,89.5,0.41,0.4,0.32,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900.0,13.82,9.4,32528.0,0,1
124,3,122,porsche,std,two,hardtop,rwd,rear,89.5,0.41,0.4,0.32,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900.0,13.82,9.4,34028.0,0,1
125,3,122,porsche,std,two,convertible,rwd,rear,89.5,0.41,0.4,0.32,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900.0,13.82,9.4,37028.0,0,1
126,0,122,renault,std,four,wagon,fwd,front,96.1,0.6,0.53,0.62,2579,ohc,four,132,mpfi,3.46,3.9,8.7,103.39698492462311,5117.59,10.22,7.58,9295.0,0,1
127,2,122,renault,std,two,hatchback,fwd,front,96.1,0.53,0.54,0.23,2460,ohc,four,132,mpfi,3.46,3.9,8.7,103.39698492462311,5117.59,10.22,7.58,9895.0,0,1
128,3,150,saab,std,two,hatchback,fwd,front,99.1,0.68,0.53,0.69,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250.0,11.19,8.39,11850.0,0,1
129,2,104,saab,std,four,sedan,fwd,front,99.1,0.68,0.53,0.69,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250.0,11.19,8.39,12170.0,0,1
130,3,150,saab,std,two,hatchback,fwd,front,99.1,0.68,0.53,0.69,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250.0,11.19,8.39,15040.0,0,1
131,2,104,saab,std,four,sedan,fwd,front,99.1,0.68,0.53,0.69,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250.0,11.19,8.39,15510.0,0,1
132,3,150,saab,turbo,two,hatchback,fwd,front,99.1,0.68,0.53,0.69,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500.0,12.37,9.04,18150.0,0,1
133,2,104,saab,turbo,four,sedan,fwd,front,99.1,0.68,0.53,0.69,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500.0,12.37,9.04,18620.0,0,1
134,2,83,subaru,std,two,hatchback,fwd,front,93.7,0.24,0.26,0.49,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69,4900.0,7.58,6.53,5118.0,0,1
135,2,83,subaru,std,two,hatchback,fwd,front,93.7,0.25,0.28,0.49,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400.0,9.04,7.58,7053.0,0,1
136,2,83,subaru,std,two,hatchback,4wd,front,93.3,0.24,0.3,0.66,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400.0,9.04,7.58,7603.0,0,1
137,0,102,subaru,std,four,sedan,fwd,front,97.2,0.46,0.44,0.39,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800.0,7.34,6.35,7126.0,0,1
138,0,102,subaru,std,four,sedan,fwd,front,97.2,0.46,0.44,0.39,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400.0,8.39,7.12,7775.0,0,1
139,0,102,subaru,std,four,sedan,fwd,front,97.2,0.46,0.44,0.39,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200.0,9.04,7.34,9960.0,0,1
140,0,102,subaru,std,four,sedan,4wd,front,97.0,0.46,0.44,0.54,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,9.79,9.4,9233.0,0,1
141,0,102,subaru,turbo,four,sedan,4wd,front,97.0,0.46,0.44,0.54,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800.0,9.79,8.1,11259.0,0,1
142,0,89,subaru,std,four,wagon,fwd,front,97.0,0.48,0.44,0.43,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,8.39,7.34,7463.0,0,1
143,0,89,subaru,std,four,wagon,fwd,front,97.0,0.48,0.44,0.43,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200.0,9.4,7.58,10198.0,0,1
144,0,85,subaru,std,four,wagon,4wd,front,96.9,0.49,0.44,0.59,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,10.22,8.1,8013.0,0,1
145,0,85,subaru,turbo,four,wagon,4wd,front,96.9,0.49,0.44,0.59,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800.0,10.22,10.22,11694.0,0,1
146,1,87,toyota,std,two,hatchback,fwd,front,95.7,0.26,0.28,0.56,1985,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,6.71,6.03,5348.0,0,1
